epoch,time,params,lr,train_loss,dev_loss,dev_gain,test_loss,sp_W,sp_dx,sp_dh
0,0m 10s,201522,0.0001,0.33807730102539063,0.17798622449239096,1,0.15546791177046926,0.0,0.0,0.0
1,0m 21s,201522,0.0001,0.2309933624267578,0.15024622281392416,0.1558547677359868,0.1334977149963379,0.0,0.0,0.0
epoch,time,params,lr,train_loss,dev_loss,dev_gain,test_loss,sp_W,sp_dx,sp_dh
0,0m 10s,201522,0.0001,0.33807730102539063,0.17798622449239096,1,0.15546791177046926,0.0,0.0,0.0
1,0m 22s,201522,0.0001,0.2309933624267578,0.15024622281392416,0.1558547677359868,0.1334977149963379,0.0,0.0,0.0
2,0m 33s,201522,0.0001,0.20443807983398438,0.14089867803785536,0.06221484041995175,0.12579797443590665,0.0,0.0,0.0
3,0m 47s,201522,0.0001,0.1932580871582031,0.14011334048377144,0.005573775176747346,0.12780520790501645,0.0,0.0,0.0
4,1m 4s,201522,0.0001,0.1873396453857422,0.13516302903493246,0.035330764592057855,0.1216964470712762,0.0,0.0,0.0
5,1m 16s,201522,0.0001,0.18415150451660156,0.1385884682337443,-0.025343018895548252,0.12719494418094032,0.0,0.0,0.0
6,1m 28s,201522,0.0001,0.18189714050292968,0.14008629322052002,-0.010807717307687413,0.13001232398183724,0.0,0.0,0.0
7,1m 50s,201522,0.0001,0.1802629852294922,0.13404018349117702,0.04315989516422835,0.12249399486340974,0.0,0.0,0.0
8,2m 11s,201522,0.0001,0.178908935546875,0.13455712795257568,-0.003856637971796627,0.12288094821729158,0.0,0.0,0.0
9,2m 23s,201522,0.0001,0.1780360870361328,0.1373387575149536,-0.020672480192638384,0.12737210173355906,0.0,0.0,0.0
epoch,time,params,lr,train_loss,dev_loss,dev_gain,test_loss,sp_W,sp_dx,sp_dh
0,0m 10s,201522,0.0001,0.33807730102539063,0.17798622449239096,1,0.15546791177046926,0.0,0.0,0.0
1,0m 21s,201522,0.0001,0.2309933624267578,0.15024622281392416,0.1558547677359868,0.1334977149963379,0.0,0.0,0.0
2,0m 35s,201522,0.0001,0.20443807983398438,0.14089867803785536,0.06221484041995175,0.12579797443590665,0.0,0.0,0.0
epoch,time,params,lr,train_loss,dev_loss,dev_gain,test_loss,sp_W,sp_dx,sp_dh
0,0m 10s,201522,0.0001,0.4146152648925781,0.25277092721727157,1,0.1650843243849905,0.0,0.0,0.0
1,0m 21s,201522,0.0001,0.30641995239257813,0.22358372476365831,0.11546898519909739,0.1440323653974031,0.0,0.0,0.0
2,0m 32s,201522,0.0001,0.2783206787109375,0.21372048060099283,0.04411432081244526,0.13526631656445956,0.0,0.0,0.0
3,0m 44s,201522,0.0001,0.26628884887695314,0.2082291046778361,0.02569419602517602,0.13221552497462222,0.0,0.0,0.0
4,0m 56s,201522,0.0001,0.25812066650390625,0.20546413792504203,0.013278483606179382,0.13101699477747866,0.0,0.0,0.0
5,1m 7s,201522,0.0001,0.2533296661376953,0.20543616347842747,0.00013615245413177915,0.13510680198669434,0.0,0.0,0.0
6,1m 19s,201522,0.0001,0.24964306640625,0.20709167586432564,-0.008058524642726864,0.13809359701056229,0.0,0.0,0.0
7,1m 31s,201522,0.0001,0.24708316040039063,0.20131843619876438,0.027877700257462532,0.1332476766485917,0.0,0.0,0.0
8,1m 43s,201522,0.0001,0.2449011993408203,0.20193947686089408,-0.0030848673070187163,0.13344984305532356,0.0,0.0,0.0
9,1m 55s,201522,0.0001,0.24285369873046875,0.20011369387308756,0.009041238573992241,0.13422454030890213,0.0,0.0,0.0
