epoch,time,params,lr,train_loss,dev_loss,dev_gain,test_loss,sp_W,sp_dx,sp_dh
0,0m 10s,10212,0.0005,212.71155543785312,170.42780219184027,1,618.5871710526316,0.013538273615635199,0.0,0.0
1,0m 25s,10212,0.0005,209.56826006355934,165.36440700954861,0.02970991303749901,615.3102898848684,0.015065146579804511,0.0,0.0
2,0m 43s,10212,0.0005,206.63669668079095,163.73761664496527,0.009837608914773342,612.0745785361842,0.01333469055374592,0.0,0.0
3,0m 55s,10212,0.0005,203.86442884887006,158.25718858506946,0.03347079414120891,609.453279194079,0.013029315960912058,0.0,0.0
4,1m 9s,10212,0.0005,201.2476606638418,156.33161078559027,0.01216739546996383,605.5,0.01333469055374592,0.0,0.0
5,1m 22s,10212,0.0005,198.58798993644066,152.26573350694446,0.02600803035428445,602.472810444079,0.014963355048859928,0.0,0.0
6,1m 36s,10212,0.0005,196.17015360169492,152.00887044270834,0.0016869393941769532,601.1162109375,0.014149022801302924,0.0,0.0
7,1m 47s,10212,0.0005,193.90444032485877,148.74258083767361,0.021487493430627017,599.3251953125,0.013843648208469062,0.0,0.0
8,1m 58s,10212,0.0005,191.90227754237287,147.19623480902777,0.010396122078407444,595.7406969572369,0.014657980456026065,0.0,0.0
9,2m 9s,10212,0.0005,189.9802480579096,146.18417697482639,0.00687556876379636,593.9413034539474,0.013029315960912058,0.0,0.0
10,2m 20s,10212,0.0005,188.19339247881356,144.14463975694446,0.013951832955444601,593.7476870888158,0.014861563517915344,0.0,0.0
11,2m 32s,10212,0.0005,187.45994438559322,144.80995008680554,-0.004615574543617625,592.0794099506579,0.013741856677524478,0.0,0.0
12,2m 43s,10212,0.0005,186.94897598870057,141.96034071180554,0.01967827054212654,591.9478310032895,0.014861563517915344,0.0,0.0
13,2m 59s,10212,0.0005,186.32911811440678,141.18111165364584,0.005489061622792363,589.6573293585526,0.015065146579804511,0.0,0.0
14,3m 14s,10212,0.0005,185.60813912429379,143.66837565104166,-0.01761754081875855,588.0207648026316,0.014861563517915344,0.0,0.0
15,3m 26s,10212,0.0005,184.8152917549435,138.00150553385416,0.039444102374706656,586.6826685855264,0.013538273615635199,0.0,0.0
16,3m 42s,10212,0.0005,184.249448269774,134.83808051215277,0.022923119638903814,587.6904810855264,0.014861563517915344,0.0,0.0
17,3m 55s,10212,0.0005,183.73953919491527,134.66517469618054,0.00128232184346947,584.1608758223684,0.01526872964169379,0.0,0.0
18,4m 8s,10212,0.0005,183.1240510240113,133.42173936631946,0.009233532965493216,583.2086759868421,0.014759771986970649,0.0,0.0
19,4m 19s,10212,0.0005,182.50616834392656,135.37361653645834,-0.014629378835932124,582.2540090460526,0.014963355048859928,0.0,0.0
20,4m 34s,10212,0.0005,181.91075211864407,133.30546061197916,0.01527739287309501,582.2563219572369,0.015370521172638485,0.0,0.0
21,4m 47s,10212,0.0005,181.31971663135593,132.15544976128473,0.008626884790877695,581.2053865131579,0.016897394136807797,0.0,0.0
22,5m 0s,10212,0.0005,180.81368070268363,132.29698350694446,-0.0010709641253189635,580.94921875,0.013843648208469062,0.0,0.0
23,5m 15s,10212,0.0005,180.31553451624293,132.32444932725696,-0.0002076073058087396,578.9840152138158,0.015675895765472347,0.0,0.0
24,5m 27s,10212,0.0005,179.82276218220338,131.83780924479166,0.0036776278680122868,578.1915090460526,0.015370521172638485,0.0,0.0
25,5m 42s,10212,0.0005,179.3395568502825,130.54922146267361,0.00977403818752358,577.5961657072369,0.016388436482084656,0.0,0.0
26,5m 55s,10212,0.0005,178.88233801200565,126.68122016059027,0.029628681494583056,576.7348375822369,0.01577768729641693,0.0,0.0
27,6m 7s,10212,0.0005,178.4290143891243,130.53453233506946,-0.03041739075132406,576.2673725328947,0.016592019543973935,0.0,0.0
28,6m 19s,10212,0.0005,177.9924743997175,127.47843424479167,0.023412180942534645,574.4377055921053,0.015574104234527653,0.0,0.0
29,6m 30s,10212,0.0005,177.56704625706215,124.02513292100694,0.027089298234974347,573.3619962993421,0.014759771986970649,0.0,0.0
